STT,question,answer,Unnamed: 3,Unnamed: 4,category
TB_1252,"Theo Thông báo số 1252, tôi cần thực hiện nhiệm vụ gì liên quan đến ngân hàng đề thi học kỳ I?","Theo Thông báo số 1252, bạn cần báo cáo kết quả xây dựng ngân hàng đề thi kết thúc học phần học kỳ I, năm học 2023–2024.",,,Giảng viên
TB_1252,Thông báo số 1252 có yêu cầu lập kế hoạch cho ngân hàng đề thi học kỳ II không?,"Có. Bạn cần lập kế hoạch xây dựng ngân hàng đề thi kết thúc học phần học kỳ II, năm học 2023–2024 theo yêu cầu trong Thông báo số 1252.",,,Giảng viên
TB_1252,"Theo Thông báo số 1252, tôi cần nộp báo cáo và kế hoạch ngân hàng đề thi tại đâu?","Bạn cần gửi báo cáo và kế hoạch về Phòng Bảo đảm chất lượng và Khảo thí, Trường Đại học Bình Dương.",,,Giảng viên
TB_1252,"Theo Thông báo số 1252, tôi gửi file báo cáo ngân hàng đề thi cho ai phụ trách?","Bạn gửi cho ông Lại Đức Khâm – cán bộ Phòng Bảo đảm chất lượng và Khảo thí, Trường Đại học Bình Dương.",,,Giảng viên
TB_1252,Địa chỉ email để gửi file mềm báo cáo và kế hoạch ngân hàng đề thi theo Thông báo số 1252 là gì?,Bạn gửi file mềm qua địa chỉ email: ldkham@bdu.edu.vn.,,,Giảng viên
TB_1252,Hạn cuối cùng để nộp báo cáo kết quả và kế hoạch xây dựng ngân hàng đề thi theo Thông báo số 1252 là khi nào?,Bạn cần nộp trước ngày 15/01/2024.,,,Giảng viên
TB_1252,Thông báo số 1252 căn cứ trên những văn bản nào của Trường Đại học Bình Dương?,Thông báo số 1252 căn cứ trên Quyết định số 1768/QĐ-ĐHBD ngày 28/12/2022 và Kế hoạch số 750/KH-ĐHBD ngày 09/08/2023 của Trường Đại học Bình Dương.,,,Giảng viên
TB_1252,"Sau khi nộp báo cáo và kế hoạch, đơn vị tôi có cần thực hiện gì thêm theo Thông báo số 1252 không?","Có. Sau khi nộp, các Khoa, Viện, Trung tâm và Phòng chức năng cần tiếp tục phối hợp với Trường để triển khai thực hiện các nội dung xây dựng ngân hàng đề thi theo kế hoạch.",,,Giảng viên
TB_1252,Ai là người ký ban hành Thông báo số 1252 về báo cáo và kế hoạch ngân hàng đề thi?,PGS.TS. Đỗ Đoan Trang – Phó Hiệu trưởng thường trực Trường Đại học Bình Dương là người ký ban hành Thông báo số 1252.,,,Giảng viên
TB_1252,Thông báo số 1252 về báo cáo kết quả và kế hoạch xây dựng ngân hàng đề thi được ban hành vào ngày nào?,Thông báo số 1252 được ban hành vào ngày 29 tháng 12 năm 2023.,,,Giảng viên
